text,language
Kemudian pembangunan kondominium dan proyek kotabaru Kemayoran yang sempat menuai masalah.,Indonesian
"Penyakit ini ditandai dengan demam, leukopenia, gangguan pencernaan serta sering disertai dengan komplikasi pneumonia dan gangguan saraf Fraser CM et al.",Indonesian
"Tenunan, teteron dan semacamnya digunakan sebagai inti sabuk untuk membawa tarikan yang besar.",Indonesian
"Bagi Anson, pemain dengan kecepatan tinggi, postur tubuh kurus dan kidal adalah keuntungan besar.",Indonesian
"Keju kemudian diangkat dan diasinkan, kemudian kultur yang mengandung jamur dan bakteri diinokulasi.",Indonesian
"Produksi langsung dikembangkan oleh produser Silverback Films, dan komposer pemenang Oscar, Steven Price.",Indonesian
"Mereka menemukan peta yang digunakan Margo dan menemukan bahwa ia telah bersembunyi di Agloe, sebuah kota fiktif yang terletak di negara bagian New York.",Indonesian
Church secara bercanda memberitahu Swift dia harusnya memberikan Church rekaman emas pertamanya sebagai ucapan terima kasih karena telah dipecat.,Indonesian
"Ia memutuskan untuk graduation dari AKB48 pada tahun 2016, ia beralasan bahwa ia ingin memfoukuskan dirinya untuk karier aktingnya.",Indonesian
Dalam tipikal sistem tagging tidak ada informasi yang eksplisit tentang makna atau semantik dari setiap label.,Indonesian
"Salah satu karya yang ada di bangunan ini adalah 'Temple Festival"" (1938) yang dibuat oleh I Gusti Ketut Kobot.",Indonesian
Kemudian dia melakukan perjalanan ke Solferino untuk bertemu secara pribadi dengan Napoleon III.,Indonesian
Putri Purbasari tentu saja terkejut setelah mengetahui bahwa Lutung Kasarung bisa berbicara seperti manusia.,Indonesian
Rasa nyeri di faring dan /atau laring bisa jadi merupakan nyeri yang bersumber dari telinga yang kemudian disalurkan ke faring atau laring.,Indonesian
"Beberapa pemikir Marxis menambah definisi koefisien Engel menjadi persentase pendapatan yang dihabiskan untuk membeli makanan, rumah, dan pakaian, atau dalam kata lain persentase pendapatan yang dibutuhkan untuk memenuhi kebutuhan dasar dan tetap hidup.",Indonesian
Selain itu juga terdapat hutan cemara udang yang rindang hasil kerjasama penghinjauan pantai antara Pemkab Kebumen dengan Universitas Gadjah Mada (UGM) Yogyakarta.,Indonesian
Tanaman ini tumbuh hingga 40�150 cm (16-57 inci) tingginya.,Indonesian
"Sepulangnya dari pelarian, Karaeng Loe menemukan bahwa beberapa bangsawan masih mendukungnya.",Indonesian
Setiap satuan lokal memilih sendiri pemimpinnya dan disatukan oleh sebuah Perjamuan Kudus.,Indonesian
"Catherine kemudian diam-diam menikah dengan Owen Tudor pada tahun 1429, dan memiliki anak dengannya.",Indonesian
Kerja keras Dr. Warsito akhirnya menuai hasil.,Indonesian
Perlawanan rakyat terhadap Belanda berkobar di daerah-daerah di bawah pimpinan Pangeran Antasari yang berahsil menghimpun pasukan sebanyak 3.000 orang dan menyerbu pos-pos Belanda.,Indonesian
Perdana Menteri (,Indonesian
Berlokasi di seberang Sungai Singapura di mana lokasi sebenarnya dari Clarke Quay.,Indonesian
Suatu serangan Boles?aw III Krzywousty dan Borivoi pada pasukan Svatopluk memaksa Heinrich untuk menyerah di dalam kampanyenya.,Indonesian
Masing-masing Balai Besar membawahi sejumlah Stasiun BMKG.,Indonesian
"Selama waktu ini ia tidak menekan penyembahan Amun, dan Imam Besar Amun masih aktif pada tahun ke-4 pemerintahannya.",Indonesian
Pada masa dahulu Desa Lontar mulanya hanya berupa hutan belukar atau rimba namun berangsur angsur datanglah masyarakat dari Negara Tiongkok singgah melalui jalan Perairan dengan tujuan berdagang.,Indonesian
"Seperti yang sudah Holmes harapkan, Adler segera berlari menuju tempat ia menyimpan barangnya yang paling berharga-foto dirinya bersama sang Raja, saat teriakan ""api"" terdengar.",Indonesian
Komisaris luar diangkat karena pengalamannya dianggap berguna bagi organisasi tersebut.,Indonesian
"Misi berakhir pada 3 Oktober 2019, ketika Soyuz-MS-12 (membawa Ovchinin, Hague, dan turis antariksa Hazza Al Mansouri) berhasil mendarat.",Indonesian
"Penggunaan mesin fotokopi warna digunakan pula oleh, misalnya, seniman surrealis Jan Hathaway.",Indonesian
"Memasuki abad ke-21, TUFS tetap memainkan peranan penting sebagai pusat kajian internasional, penelitian, dan pertukaran dosen sedunia yang canggih.",Indonesian
"Kawat tersebut terbang menebas rapi tubuh Rory di beberapa bagian, membunuhnya seketika.",Indonesian
Hasil yang diumumkan meliputi perolehan suara berikut jumlah kursi masing-masing partai politik di DPR.,Indonesian
"Di antarabuku-buku tersebut adalah The Psychology of Religion karangan Edwind Diller Starbuck, yang mendahului karangan Wlilliam James.",Indonesian
Gagasan mula-mula untuk mendirikan IAAI dimulai pada 60-an yang menghasilkan dibentuknya Studi Klub Arkeologi yang kemudian menjadi IAAI pada 4 Februari 1976.,Indonesian
Pada suatu hari Ba�on menolong Mel (Tya Arifin) yang nyaris kena rampok.,Indonesian
"Ini dipastikan akan ditayangkan mulai akhir April, dengan acara tersebut dibawakan lagi oleh Lee Da-hee dan Jang Sung-kyu.",Indonesian
Usia yang terbilang masih muda yaitu di usia 26 tahun tapi Sabatini memutuskan untuk pensiun dini setelah 12 tahun karier profesionalnya.,Indonesian
Data sensor MAP dapat dikonversi menjadi data massa udara menggunakan metode kecepatan-kepadatan.,Indonesian
"Seperti yang telah diceritakan oleh para Sesepuh Desa, keadaan Desa Mantingan tidaklah semaju sekarang.",Indonesian
Daging domba atau daging kambing hanya perlu digoreng sebentar karena bila matang menjadi keras.,Indonesian
"Di Bath, ia masuk Beechen Cliff School.",Indonesian
"Objek yang dibahas dalam Matematika Diskrit - seperti bilangan bulat, graf, atau kalimat logika - tidak berubah secara kontinu, tetapi memiliki nilai yang tertentu dan terpisah.",Indonesian
Kalsel Selain itu ia juga merupakan Direktur Eksekutif Lembaga Kajian Politik dan Pembangunan Daerah.,Indonesian
Neraca perdagangan adalah condong ke Indonesia dengan ekspor Indonesia mencapai US$84.77 juta pada tahun 2010.,Indonesian
"Surat-menyuratnya dengan rekan-rekannya seperti Wallace Stevens, Harriet Monroe dan Edmund Wilson dikumpulkan dalam The Selected Letter of Conrad Aiken, yang diterbitkan setelah dia meninggal dunia.",Indonesian
Kemudian pada tahun 2005 diambil alih oleh PT Intra Asia Corpora hingga sekarang.,Indonesian
"Sepanjang perang, usaha perang Austria-Hongaria telah menjadi kian menurun pada arahan perencana Jerman.",Indonesian
"Kelompok ini kemudian dibelah dua, dan urutan tim pada paruh atas akan melawan urutan tim pada paruh bawah.",Indonesian
Dia mulai bekerja sebagai perawat tentara dan kemudian sebagai sekretaris Angkatan Udara.,Indonesian
Film tersebut merupakan adaptasi novel dengan judul yang sama karya Nia Azalea.,Indonesian
"Pada saat kecil, Amal mengaku tak punya cita-cita.",Indonesian
"Sepeninggal dia, organisasi Wado-ryu terpecah menjadi tiga yaitu Wado-ryu Renmei yang dipimpin oleh Jiro Otsuka, Wado Kokusai Renmei yang dipimpin oleh Tatsuo Suzuki, dan JKF-Wadokai yang dipimpin oleh alm.",Indonesian
"Adanya pelemahan nilai Rupiah pada Agustus-September 2020 antara lain dipengaruhi oleh faktor masih tingginya ketidakpastian pasar keuangan yang ada di dunia, baik karena faktor global maupun sejumlah risiko domestik setiap negara.",Indonesian
"Penerbit setuju, meskipun sang pengarang yang bermasalah secara finansial awalnya menolak.",Indonesian
Sehingga Aku menjalani waktu luang di Internet.,Indonesian
Bisnis taksi yang kemudian berkembang ke dalam beberapa bisnis yang berkaitan dengan transportasi dan pariwisata yang kemudian dikenal sebagai Blue Bird Group.,Indonesian
"Saat elongasi, tiap subunit berikatan dengan ujung ujung mikrotubulus.",Indonesian
"Aline yang agresif dan tegas begitu saja memutuskan bahwa mereka berpacaran, tanpa memberikan kesempatan pada Budi untuk berpikir.",Indonesian
"Sementara, dan tidak ikut serta.",Indonesian
Facebook Moments adalah aplikasi berbagi foto pribadi yang diluncurkan oleh Facebook pada 2015 tetapi dihentikan pada 25 Februari 2019.,Indonesian
Jepang menyatakan tidak berani menjamin keselamatan calon raja.,Indonesian
"USgamer dan Forbes merasa bahwa sistem wanted tidak adil bagi pemain yang melakukan kejahatan yang sulit dihindari, seperti tidak sengaja bertabrakan dengan NPC.",Indonesian
Prototipe yang dihasilkan ditetapkan I-310.,Indonesian
"Sebagai anggota polisi bagian kesenian, sempat pula menjadi pemain ketoprak Margo Utomo.",Indonesian
Viz Media telah mengamankan hak tayang asing dan distribusi video rumahan untuk anime Bleach pada tahun 2006.,Indonesian
Terdapat 20.000 Yahudi tinggal di Tripoli pada tahun 1948.,Indonesian
Lindswell telah mencatat berbagai prestasi saat mewakili Sumatra Utara dan Indonesia sebagai atlet muda wushu di berbagai kejuaraan nasional maupun internasional.,Indonesian
"Contohnya, sebuah piano Model 170 yang memiliki panjang 170 centimeter.",Indonesian
Bugatti Automobiles S.A.S. adalah salah satu divisi Grup Volkswagen Prancis.,Indonesian
"Menurut legenda, pada tahun 1722, kolonis-kolonis wanita Prancis berkumpul di New Orleans di rumah gubernur Jean-Baptiste Le Moyne, Sieur de Bienville, untuk memprotes atas kekurangan bahan-bahan yang dikenali.",Indonesian
Duncan Todd ( ) adalah seorang perenang asal Hong Kong.,Indonesian
Di dalam goa terdapat air dan dapat dijelajahi dengan jalan kaki atau menggunakan perahu atau jukung tradisional.,Indonesian
"Pagi berikutnya, ketika seorang kepala pelayan bernama Fritz tiba di rumah Gru, Gru menemukan bahwa dia memiliki saudara kembar bernama Dru, yang tinggal di negara yang jauh bernama Freedonia, yang ingin bertemu dengannya.",Indonesian
"Dokumen sumbangannya kepada Katedral Lund merupakan teks tertua dari Denmark, dan memberikan wawasan yang luas ke masyarakat Denmark pasca-",Indonesian
"Namun, dia tidak mati, sehingga diputuskan untuk memenggal kepalanya.",Indonesian
"Minat penelitian Malesevic meliputi studi komparatif-historis dan teoritis etnis, negara-bangsa, nasionalisme, kerajaan, ideologi, perang, kekerasan dan teori sosiologis.",Indonesian
"Jumlah jenis kegiatan pengangkutan orang dan barang dengan alat angkut kendaraan jaya raya, laut, rel, udara dan sungai/danau/penyebrangan.",Indonesian
"Di kiri bawah, terdapat air mancur kecil di antara dua pohon.",Indonesian
"Kota ini sangat terkenal dengan hasil pertanian jambunya terutama jenis Jambu Citra Delima, bahkan Jambu Citra Delima dikenal orang luar Demak disebut Jambu Demak.",Indonesian
Kimi juga dikenal tidak peduli dengan lingkungan tim.,Indonesian
Kuldeep pergi ke Eropa bersama Samaira.,Indonesian
Guntheuc mungkin berasal dari Bourgogne dan cucu Godegisel seorang Raja Bourgogne.,Indonesian
"Sekolah menengah atas diikutinya di sekolah pengetahuan Barat (sekarang Sekolah Menengah Atas Aichi Asahigaoka), diteruskan ke Kelas Persiapan Universitas Tokyo yang nantinya disebut Daiichi K?t? Gakk?.",Indonesian
Keadaan ini mengundang timbulnya sejumlah pendapat.,Indonesian
FBI membagikan foto orang yang mereka yakini telah menanam perangkat tersebut dan memberikan hadiah hingga $ 50.000 untuk informasi.,Indonesian
Bartimaeus masih berada di Bumi dikuasai oleh Nathaniel dan diperlakukan dengan penuh penghinaan.,Indonesian
"Ia dilahirkan dari pasangan Wartono Sudjatmiko dan Sri Sulastri Sudjatmiko, anak pertama dari empat bersaudara.",Indonesian
Dibangun pada tahun 1434 dan didedikasikan oleh Yoshinori.,Indonesian
Undang-Undang Adopsi Statuta Westminster 1947 (Public Act no. 28 of 1947) adalah sebuah Undang-Undang Konstitusional Parlemen Selandia Baru yang secara resmi menerima otonomi luar negeri penuh yang ditawarkan oleh Parlemen Inggris.,Indonesian
Semoga artikel ini bermanfaat.,Indonesian
"Ia menambahkan, �Bahwa �ain dapat terjadi bersama rasa takjub walau tanpa adanya sifat iri, walau dari orang yang mencintai dan dari seorang yang shalih (tanpa disengaja).""",Indonesian
"Di KAOS, tujuan disusun dalam penyempurnaan hierarki abstraksi AND / OR seperti biasa.",Indonesian
"Ia seorang wanita yg sabar dan kuat dalam menghadapi rintangan,sifatnya welas asih kepada setiap orang bahkan kepada orang yang membenci dan menentang ajarannya,suka membela kebenaran dan suka menolong kepada orang yang lemah.",Indonesian
"Logo perusahaan ini, yakni palang Bayer, diperkenalkan pada tahun 1904, dan menampilkan dua kata BAYER yang ditulis secara vertikal dan horizontal, dengan berbagi satu huruf Y dan dikelilingi oleh lingkaran.",Indonesian
"Kemudian, setelah menyerang gereja dan rumah Priestley, para perusuh menyerang dan membakar empat kapel, dua puluh tujuh rumah, dan beberapa bisnis milik pengingkar.",Indonesian
"Kolam ""The Deep Joy"" Y-40 pertama kali dibuka pada tanggal 5 Juni 2014 dan dirancang oleh arsitek Emanuele Boaretto.",Indonesian
"Tim-tim dari Spanyol telah memenangkan turnamen sebanyak tujuh kali, paling banyak dari negara mana pun.",Indonesian
"Dan dalam beberapa hari, saya mendapat telepon dari produksi yang mereka butuhkan untuk bersentuhan dengan saya"" -",Indonesian
"Aliran yang terbit di berbgai bukit di Cefn, mengalir di arah tenggara melalui Whitchurch dan, tampaknya, hilang di kanal Glamorganshire di Mynachdy.",Indonesian
"Di jalur Musashino, terdapat dua subseri KRL seri 205, yaitu subseri 0 dan subseri 5000.",Indonesian
"Di akhir, dengan bantuan Austin dan Uniqua, mereka menantang Tasha dalam permainan Bola basket.",Indonesian
Dia berhasil memasuki menara itu lalu menghadapi Sersan Metallic.,Indonesian
"Sebanyak 46 kantor di 21 negara yang terpencar di kawasan Asia Pasifik, Timur Tengah, Eropa dan Amerika Serikat, SingTel menyediakan layanan jaringan data yang luas dengan infrastruktur yang kuat mencakupi seluruh dunia.",Indonesian
"Saat Stephen menjadi tertutup dan fokus pada pekerjaannya, Jane mengaku bahwa ia mencintai Stephen.",Indonesian
Replika proyektil 17.72 inci senjata berbobot 100 ton ini.,Indonesian
Efek dari pemisahan ini adalah gereja kehilangan dana pemerintah di Prancis.,Indonesian
Kinberg menyatakan bahwa ia dan Penn pada akhirnya tidak senang dengan bagaimana adaptasi ternyata juga.,Indonesian
"Hawker Siddeley Nimrod ini adalah modifikasi yang luas dari de Havilland Comet, pesawat jet pertama di dunia.",Indonesian
Gereja Katolik Roma di Skotlandia.,Indonesian
"Dalam drama tersebut, Shin Hye berpasangan dengan Lee Min Ho yang berperan sebagai Kim Tan.",Indonesian
"Di ujungtombaki oleh divisi-divisi Panzer ke-1,ke-13, dan ke-23 serta Divisi Panzergrenadier 'Feldhernnhalle',pasukan Jerman-Hongaria mengepung Grup Pliyev.",Indonesian
"Ia merupakan anak peranakan kaya raya, mula-mula menjabat pembantu editor koran Melayu milik Indo Belanda.",Indonesian
Proses pembuatan film ini menghabiskan waktu selama 49 hari di pedalaman hutan.,Indonesian
"Walaupun Scharnhorst jauh lebih kuat dibanding lawannya, kehilangan pentujuk radar dan cuaca yang buruk membuatnya dalam keadaan merugikan secara signifikan.",Indonesian
"Toko-toko ini menawarkan dukungan kepada pengguna yang luas, mulai dari penyediaan suku cadang, untuk pemecahan masalah dan pemberian rekomendasi untuk pengaturan mesin.",Indonesian
Enzim seperti ini sangat ideal untuk proses reaksi dalam industri.,Indonesian
"Kayu ini dapat dikeringkan dengan baik, tetapi kadang-kadang sedikit pecah.",Indonesian
"Meskipun tidak terlalu pedas, hidangan menggabungkan berbagai perisa yang bisa menambah kekhasan rasa.",Indonesian
Chris Meledandri memberikan ide pada sebuah film tentang apa yang dilakukan hewan peliharaan ketika pengasuh mereka pergi.,Indonesian
Celtics kembali mendominasi pada tahun 1980-an.,Indonesian
Tahap kedua dilanjutkan dengan pengerjaan ruang salat dan tempat wudu pada 2010.,Indonesian
Spesies ini dapat ditemukan di Australia Timur.,Indonesian
Paveway IV memasuki layanan dengan Royal Air Force Inggris pada 2008.,Indonesian
Bangunan halte ini berada di sisi timur satu jalur rel dan tidak memiliki persinyalan kereta api.,Indonesian
"Pupuk kandang juga mempunyai bau yang tidak enak bagi lingkungan, meskipun tidak beracun.",Indonesian
"Produsen kendaraan berpemandu laser, 80, yang menjadi bagian dari akuisisi SASIB pada tahun 1999 pun dijual ke pemilik awalnya asal Italia pada tahun 2004.",Indonesian
"Setelah gagal pada Pemilu 1919, ia mengembangkan paham kelompoknya, sehingga mulai mendapat pengaruh.",Indonesian
"Tahun berikutnya, Yonif 015/Setia berubah menjadi Yonif 725/Setia, sesuai Surat Keputusan Pangdam XIV/Hn Nomor: Skep/0051/V/1964, tanggal 18 Mei 1964.",Indonesian
"Pendekatan lainnya yaitu dengan meneliti fosil manusia awal, melihat kemungkinan adanya jejak adaptasi fisik terhadap penggunaan bahasa.",Indonesian
"Berita baiknya adalah sebuah tempat besar akan dibangun di antara sektor komersial di Sektor Selatan dan P�tio Brasil, dan Sektor Komersial Utara dan pusat belanja Bras�lia, yang akan memfasilitasi pertemua warga kota.",Indonesian
Banyak kasus penyakit ini yang tidak memiliki gejela.,Indonesian
Ikatan ganda yang melibatkan karbon lebih kuat daripada ikatan tunggal dan oleh karenanya panjang ikatannya juga lebih pendek.,Indonesian
"Dia memprediksi terobosan tim pertama, sambil memastikan bahwa Mastour harus diberikan waktu yang cukup untuk memperbaiki terlebih dahulu.",Indonesian
"Album ini berhasil dirilis pada November 2002 dan mengandalkan hits berjudul ""Cinta Kita"", """,Indonesian
Setelah menjabat selama 4 tahun berjalan sebagai kepala desa Bpk.,Indonesian
"Sekolah ini merupakan anggota dari Konferensi Nasional Universitas dan Perguruan Tinggi Kanada, Dewan Artikulasi Universitas Ontario, Asosiasi Universitas Internasional, dan Asosiasi Negara-Negara Persemakmuran.",Indonesian
"Pada Januari 1882, Guiteau dihukum mati atas kejahatan tersebut, dan digantung lima bulan kemudian.",Indonesian
"Sejumlah uskup di kota ini tercatat: Marinus (tahun 325); Niconius (344); Sylvanus di awal abad ke-5; Pionius (451); Leo (787); Peter, sahabat Patriarkh Ignatius I dari Konstantinopel, dan musuh Michael, pada abad ke-9.",Indonesian
"Para polisi yang melihat kejadian tersebut enggan mengambil tindakan karena merasa membuang-buang waktu apabila mereka mengurusi hal tersebut yang dianggap sepele, karena banyaknya kejahatan yang lebih serius yang terjadi.",Indonesian
Shelina Zahra Janmohamed lahir dan dibesarkan di London Utara oleh orang tua imigran.,Indonesian
"Di bawah pimpinan Tebow, Broncos mencapai hasil 7�4, sehingga keseluruhannya adalah 8�8.",Indonesian
"Pada 1988, orang-orang yang pergi ke Libya pulang ke Aceh.",Indonesian
Dia adalah anak kedua dari tiga anak-anak untuk orang tuanya.,Indonesian
Ia juga menduduki posisi sebagai ketua program bidang studi Pascasarjana dan program S-3 di Departemen Pendidikan Nasional.,Indonesian
"Naruko bersikap dingin terhadap Jinta, tetapi masih mengkhawatirkan keadaan Jinta.",Indonesian
Edmund dengan santai meminta saksi.,Indonesian
"Beberapa bulan setelah kelahiran putranya, Judith dari Bohemia meninggal.",Indonesian
"Meskipun Kesultanan Banjar yang muncul pada abad ke-16 adalah Kerajaan Islam, namun tradisi politik yang diwariskan dari masa Negara Dipa itu ternyata tetap kuat mewarnai proses suksesinya.",Indonesian
"Ini menyebabkan, bagaimanapun, akan diganti pada saat darurat nasional.",Indonesian
Dua bola yang dimuati dengan batang amber yang digosok juga menolak satu sama lain.,Indonesian
Pemuda Jepang gemar menciptakan trend baru dan kegemaran mengikut gaya mereka memengaruhi mode dan trend seluruh dunia.,Indonesian
"Kemudian,dia diserang oleh orang bertopeng (Julukannya ""Yokai"") yang mengendalikan microbots ciptaannya.",Indonesian
Kebaya Labuh merupakan pakaian adat wanita yang biasa dikenakan pada saat upacara adat.,Indonesian
Ini merupakan maraton kelima dari India yang memperoleh pengakuan internasional.,Indonesian
"Distilasi industri skala besar jarang dilakukan untuk volatilitas relatif kurang dari 1,05.",Indonesian
"Perang saudara di Romawi terjadi beberapa tahun kemudian akibat persaingan dua anggota triumvirat yang terlalu besar pengaruhnya, Julius Caesar dan Pompey, yang berakhir dengan kediktatoran seumur hidup oleh Caesar.",Indonesian
Victoria dinyatakan zebagai zona bencana.,Indonesian
Nama kepulauan ini diambil dari banyaknya satwa biawak yang hidup di kepulauan ini.,Indonesian
"Dia juga termasuk dalam dewan editor jurnal ""Research in Ecology"" yang diterbitkan oleh Bilingual Publishing Co.",Indonesian
Model perkawinan kibor dan piano adalah electric piano (dengan teknologi digital elektronik) dan sintesis suara piano yang memiliki tingkat kemiripan dan kualitas tinggi.,Indonesian
Pososi kedua rak tersebut tegak lurus.,Indonesian
"Menurut sensus 2013, jumlah penduduk munisipalitas yang luasnya 28,6 kilometer persegi ini adalah 15.952 jiwa.",Indonesian
"Hasanah memberitahu Ahmad agar bergabung dengan pasukan Jepang, tetapi ditolaknya.",Indonesian
"Karl VI tutup usia pada tanggal 20 Oktober 1740, kemungkinan akibat keracunan jamur.",Indonesian
"Lagu-lagu yang dibawakan adalah lagu-lagu kowlli Sunda, lagu-lagu pop Sunda, dan bahkan mampu mengiringi lagu-lagu Indonesia populer.",Indonesian
