text,language
"get ate bhe kalak Korea e,Tah kekadhe kin dhaa,Ndak kite sup mege SE pe ,khoh bhende ne khoh bedih ne,khoh ini ne gat khoh iTune,semakin lebhe gat semakin adheh amin,ma ku pang sembakhang mecekhok ,sebhab mejute jute si get bhe artis luakh ge ,bhage kudhun amin kidhah model Kalak dhi nyanyi",Alas
"cakhene pekhubahen cuace, edi kase bahan ne pemanasan global",Alas
wakil mutlak badan dikhi ku,Alas
"kae-kae pelin si nangat kucape bhagas nggeluh nde mbue, njadhi kalak megune be jeme sintekhem, ndatas sekolah, mu njadi ikuten ",Alas
"te tekhgantung bhe narkoba mahan suatu negakhe mu hancukh, hakhus tepat gunekennae narkoba e",Alas
si hakhus ku lakuken tetap simpan walope Ndak nyaman nyimpanse kakhene Edi sebuah amanah,Alas
ketekeh cakhemu mempekhsiapken dikhimu ni saat pepagi wakhi?,Alas
siapken sen bakhu GaT siapke bahan-bahan ne kae si perkhlu kite babe,Alas
kune v kubahn kune v kubahn cinta ku Enda cinta ku enda,Alas
pikekhi mejile-jile sebelum metindak  dan solusi sekitakh kite kane,Alas
Made lot kebijaken kae v ni kute Adi atau v sejakhah kae v Made ke ingaten ni kite,Alas
laskar ne tading ni padang khate segere garami sultan mahkote,Alas
"te Nemu ku undang jeme ise pe ni dunie nde untuk mangan khut aku,aku akan undang Jokowi sebab side jeme penting ni negakhe Indonesia nde selain Edi Pe kase Nemu aku mangan taboh dan side mayakh se",Alas
kakhene kite khut imbang cekhite lucu khut lawak,Alas
kae let mate pelajakhen matekhi si kao malet get ti,Alas
buwe ne ie made terperi ni tangkis laskar umar yang skati keret mengeret leher kepale ate ne keras nyatelah pule,Alas
cube jelas ken kune pendapat mu tentang kualitas demokrasi Indonesia saat nde,Alas
Kane mangge Soh pelajakhen si kami capai makane kami kuliah tong,Alas
"dengan cakhe ulang ni lupeken, ulang ni robah robah",Alas
"kakhene lucu kalihen,gemesss aku pe",Alas
kenagen si malet penah tekhlupen khidi ni lawe alas  khut imbang,Alas
sebuken Bane kune pegeluh te dan kae kekukhangen te,Alas
khe mangan masihi iye setiap waktu makan,Alas
waktu mendapat khezeki khut hadiah dakhi kalak lain misalnya buah,Alas
"menukhut mu, kae kae plin hal si pekhlu ni perbaiki ni Indonesia nde",Alas
"te aku nulis buku da, ku cekhiteken gat tentang dikhi ku sendikhi, kae tuso kucekhite ken tentang kalak",Alas
kae kae pelin hal si kai geet i dakhi pasangenmu?,Alas
"gelakh restoran ku ku bhahan gat mebhelin gelakh ku Adhi ,gat kulinekh ne ku bhahan khas alas nde,sebhab keluakhge khut jabhu ku sintekhem ngakapi penasak en ku masak telu khut manuk labakh e Ndak wayang kidhah get ne ate Kalak dhi",Alas
perbedaan antakhe budaye ku khut budaye kalak iyelah dauh mebede,Alas
cerpen cekhite singkat ku kau me kemping khe wan ku laus,Alas
mende pekhasat malet mbue bage malet sombong,Alas
"cakhe ampuh untuk menaiken bekhat badan,salah satune kuat mangan",Alas
cekhiteken gambaren karakter khut cerite fiksi si penah kau bahan khut tonton?,Alas
kurang ne harge ne mahal malet bage ni pekan mi nawkha harge ne,Alas
kaum-kamu si anti demokrasi dan oknum pemecah belahne,Alas
siapken bahan bahan si sikel nobahani,Alas
cakhene nilei kesehakhien kite untuh metoh se,Alas
Pilih to tuan suke sendiri ni tenun  oleh bedio dari ape si sure pilih kandu to tuan emas permata intan sejalan,Alas
kadeh dang aku laus mace gat mate lampu Edi me gat khoh ABG ku dahi neaku mace bah ne sente Kase dak gelap kukap te dak wayang mudah gelap ne v mlot me jeme v tule,Alas
kesenangan si paling berkesan menukhutku ketika aku Nemu mebahagieken kedua khang tue ku dan Nemu bantu Kalak lain,Alas
kite taburh benih de ngo belin baru ni suwan,Alas
malet me sen edi si malet ku inginin let ni bagas geluh ku,Alas
"pemamanen, mecanang, ngembakh, mepakhukh",Alas
mebahan nangat wakhri mlot toh payah khut dak ne kune kami Kalak malot,Alas
putus khase ne tali bubuten,Alas
maso ngeken cengok kalak lain si ndak mende e,Alas
"Dhie let aplikasi si megelakh Ken ikata ,Nemu Mahan kite mengasah lincah keukhoken kite",Alas
bahasa nde bue keragamane sebab Edi bahasa nde dari ujung ke ujung mu mempersatuken kite,Alas
kakhene menurut ku keluarge ku jeme jeme hebat,Alas
pakek cakhe mekhe pekhatien me bue te sungkun kabakh ne,Alas
bekhu tenun seh UKA main se I asih bage en sebab s adh akhi,Alas
mange Soh bhedi ku bhace kekhi Dhe nggo ku bhace pagi ku cekhiteken,Alas
wakhi Jumat berkah wakhi si paling aku geti antahe wakhi lain ne,Alas
tong make daun kute gelakh ne bage dukun me istilah ne,Alas
"menukhutmu, kae plin hal si temasuk ni kateken dengan selingkuh?",Alas
khre ye mangan khre sen sen Kase nuko ajak ye macem Kase dak pekak su ye de gho belin,Alas
 Telu belas tahun menurut hizrah ne lalu ni makam ken dengen segerene saidina umar nale ganti ne,Alas
kune cakhe dapetkense kas mangan si mejilene ni lokasi kas mu tading,Alas
"bage ketekhe pernikahen si kao impiken selame ende si nemu kao cape ni suatu saat nahan, khut ketekhe modelne kao go kawin kawin pagi",Alas
cekhok mu edi made ku begeken,Alas
menurut ku cukup mantap kakhene nemu meningkatken bahasa alas te,Alas
penerjemahan dakhi bahas Indonesia ke bahasa alas,Alas
kas mangan si tenang te ndak tenang mlt pot su mangan bahan ne buah akhi kas mangan khayak nakhu ne,Alas
ken ganti surat ie kirim ken gagah perkase ie tunjuk ken kayu ni gawer ken neggo sempurna lalu berangkat sultan yang pakta,Alas
menukhutku cakha meningkatkan aplikasi ini dengan menambah kosakata,Alas
pekhadaen ku ak uaeken aku as gat eh kekhi babe it's upe,Alas
kae si aken kau bahani de mengalami pase pase jenuh ni bagas hubungen mu e si sendah?,Alas
cekhite makanen cakhe mahan masak makan gokheng awas nakan gokheng,Alas
cakhe ku nuko makanen ielah kae si ku nangatti e edi me gat ku tuko,Alas
mbue kalak si menderite kahkene ulah Kalak Belanda,Alas
senang ne Ndak melilah kakhene Edi pencapaian Ndak main main,Alas
Tersebut me anak istri Johari menaruh dendam Made Terperi ate sie sakit bandingan larang Mido Ken izin pule sekarang,Alas
aku plin te nu toh ntah kae su malet kau ingin aku sampaikan kepada seseorang yang tidak bisa banyak,Alas
"te misal ne pasangen mu let kekurangen ne si dauh dakhi ekspektasi mu, kune cakhe mu untuk menyikapi se",Alas
nikmat si bekhe Ken oleh tuhan e kite sukukhi,Alas
kahene endak sesuei dengan yang kite harapken,Alas
melole khut imbang,Alas
pelajakhen mm kakhene aku kukhang Bagas hal menghitung,Alas
sedang susah kite pot membantu kite pot megeken keluhen kite,Alas
kakhene iye dang bahagia Edi Kase kae PE chekhok ne pasti chihem iye,Alas
tentang keluarga khut imbang imbang ku sikusayangi,Alas
menjawab tentang likungan khut suku pokok ne ok lah,Alas
"kae plin hal si mahan imbangmu luakh biase, cube kao jelasken be menukhut mu plin?",Alas
Kane let bandingne ku bahani pertanyenne dapet pulsa aku pe,Alas
"supaye kite let pengalamen,kase ndak ketadingen bekhite ato pe kabakh baik bukhuk ne",Alas
ni khumah khut okhang tue sambil cekhite,Alas
cube jelas ken kune kamu menggambakhken pengalamen mu menggunaken ikata nde,Alas
hubungen khut pasangen kakhene imbang dang senang kite amin pot iye de ngo susah malet nange tekhidah imbang ge,Alas
te gat edi malet gat mbue kutoh kakhene hampekh-hampek bali soalne da,Alas
cekhiteken gambakhen katakter atau cekhiteken fiksi si aku penah bahan atau tonton,Alas
jeme tue ku sehat wal alfiat soh sendah semoge soh ni Ramadan ramadhan selanjut ne,Alas
Panganen ni daekhah ku si paling khusus ielah manuk labakh cimpe godekh masak telu gelame khut puket mengkuah,Alas
empat setikam kene kelewang,Alas
Soh ke kae plin Lebe budaye Kao si paling Kao bangge ken,Alas
"makanen ni adat ku, gelame, manuk labakh, puket megaukh, puket mekuah, cimpe",Alas
kebijakan pekhintah membuat museum untuk tempat penyimpanan benda sejakhah,Alas
hakhus ukhok mehonda be umuleh hakhus dewase,Alas
handphone kakhene ni dalem handphone nde selain dapet belajakh dapet kane menghasilken kebutuhen te,Alas
kakhene iye mekhase lucu jadi ye tawe tanpa beban,Alas
"lot sebuah cekhite si paling mele kukap malet te lupe Ken Soh sendah,pas kejadian dang pemamanen ngimbangi kake-kake nyanyi gat kene sukhah i kene sukhuh tukhun",Alas
ualng males khajin mebahan edi amin si tuhu ne,Alas
"nemu jalan-jalan khut imbang ku, jajan mbue",Alas
sebage alat siniguneken setiap wakhi,Alas
aku akan membuat kalak-kalak lain suka akan tingkah lakuku,Alas
cakhe ku mempersiapken dikhi sebelum jumpe khut kalak petame ku pikekh ken be kae si sekel ku sebut nahan bane,Alas
jadi lah kalak baik kakhene jadi baik mudah ni pecaye olekh kalak lain sehingge kite ni sayang kalak lain,Alas
"langkah tanem jagung, bersihkan lebe empus ne, de go bosih bakhu tanem jagunne",Alas
"hal si Nemu bentuk dikhi ku behubungen khut lingkungen keluarga ku, imbangku kekhine Pokokne si penah megaul khut aku e PE termasuk me Bagas pembentuken dikhiku",Alas
kae kae pelin si kau dedang ganjal bagas pikehenmu si ndak ndak e kae kau bahani ni pikekhen mu e,Alas
hal si paling tidak dewasa menukhut ku si enggo penanh ni lakukan ame uwan ku iyalah melakhang ku sekolah ni luakh pulo aceh nde,Alas
ukhok nayukh,Alas
ketekhe pesesilisehen dapet tekhjadi ni hadep pen mj,Alas
cekhok luakh Made mehingge edi me si ku biakhen cube me ko,Alas
pengalam mase mebahan ni khanto kalak sambil kuliah,Alas
yaedi aku dapet nelengi dakhi kaine tekhlebih dahulu ketika sikel nukokh baju bahan kae si ni ingin Ken kakhene mengidah bahan e dapet menentuken kualitas bakhang,Alas
ulang  tuan mekhate kherat keri ne saudare dunie akhirat,Alas
Mase Mase dang mude kale atau v Mase Mase mekhamah,Alas
Mule tat kale dapet pakenen Ni babe nasib dengen bahagien Enggo bicare kate ni cerita ken Surat sepucuk pule ni karang ken,Alas
"te aku luakh khumah da mbur hal si sikel ku lakuken, lajang lajang aku, khaun aku keliling -kelinglah, pokok ne ku gakahami si mahan aku bahagie",Alas
karene dak sesue rut pendapet ne jadi nye malet nerime,Alas
cekhiteken tentang penghargaaenmu atope pencapeenmu si kau penah kau pekholeh sendah ende?,Alas
malet ku toh da ulang ukhok su aku tentang ende,Alas
"mengnyikham tanamen, pupuk tanamen, pastiken tanamen kene sinakh mate wakhi",Alas
bekhu Kalak ulng kenin hago nak mengas Kate laki ne nahan bamu,Alas
jelasken tentang bende bende jae si kao get i sende ende,Alas
"main bola khut imbang, ngawil,  main kelekheng, khidi ni lawe nangkih deleng edi me si nemu ku cekhiteken kebiasaenmu benin jabu soh be benin tetap semangag keninpe jabu",Alas
janji mu go sampe nyate lah pasti engko khele ken nyawe mu si sakti engo ku bunuh nyate lah sungguh enggo rele ken nyawe mu yang kukuh,Alas
 nabi yulah Suleman pule ade nye,Alas
"pemamanen, tangis dito",Alas
ni daerah ku nde lot gheral khas pemanganen ne kalo nda salah manuk laba gral ne,Alas
aku nde yah walaupun demikian maka ia akan berubah te kin bg mau nayak anak bebeknya yang,Alas
cekhiteken hal hal kae pelin si kao lakuken khut mahanmu kao menyesal,Alas
Kalak jahat Kalak lobe milik Kalak lain ate ne khebut ne,Alas
cekhiteken tentang tokoh sejakhah favorit nin dan kae kalak di takhik bagi iye,Alas
menukhutmu ketekhe binatang dapet memahami kite,Alas
"menukhut ndu, kae hal macik si mu tekhjadi",Alas
kae kesanmu be aplikasi Ende?,Alas
bekhiken insetejhuksi langkah demi langkah cakhemu untu ni dapetken sim atope kase kao nemu bebas dakhi kena tilang akhi,Alas
Nemu membahagie Ken okhang khumah ne dunie akherat,Alas
de aku nulis buku akan ku tulis tentang pekhsahabaten kakhene dakhi pekhsahabaten aku terinsfirasi,Alas
ate de sakit bage ni kupe bulung ne rimbun buwe perampe ende dunie akan binase karene ate ku sangat gundahne,Alas
aku cut akhi tading khut ninik ku amek ku mebahan ni medan,Alas
te mebahan kite khut kalak hakhus kite tanemken kejujukhen paling penting kane de dape pe kite get ate kalak bante,Alas
"kae plin si Aken mahan kau jaddi kalak kuat, khayak sen ku khayak mpus ku belajakh petincu pakek ilmu ngo Edi plin",Alas
semase aku mbelin pepelin mekodok ulah ku let si mbahul let Kane si,Alas
cekhiteken kune khohne mobil berdampak ni perkembangen sejakhah daekhah mu?,Alas
pitu serancung sikene pedang tibe ni kuling bage ni rawang perang ne belin made sebage setengah mentar tulang metike,Alas
te aku jadi pemimpin akan tetapi aku tekhapken tebeken bawahen ku ee untuk disiplin Bagas ngatukh waktu dan hakhus taat me pekhatukhen si ku tekhapken ni kas mebahan e,Alas
begedi me sengkikhe ne de salah sorry de benakh khe gat mebue,Alas
hal si menggangguku ielah jeme si munafik dan jeme pebual aku edi me menukhutku hal si mengganggu,Alas
sedang lot masalah ne sedang mlt sen ne sedang mbue pikeren ne,Alas
kae pelin kao sukai dakhi tontonen sebuakh jeme si kenin get,Alas
Bue dakhi si susah ne Alhamdulillah sendah go lebih baik me,Alas
"menukhut ku penting kae si tekhjadi wakhi nde, kane kite toh kae sii nggo kite alami wakhi nde dakhi edi nemu kite jadiken pengalamen selanjutne",Alas
pepelin tentang sejarah si kandu tanye ken pe,Alas
yaedi hakhus tetap semangat ndalani ngeluh nde ulang pantang menyekhah,Alas
kalah dan menang langkahni ayun,Alas
mengucur surut tebe belakang kene cemeti tibe ni pinggang,Alas
kae kae pelin cekhite atopr kisah si biase kao bagikrn khut me kalak lain seketike sedang ngumpul,Alas
ndak lot pertanyaan lain kin no he tentang budaye amin senakhen,Alas
cekhite ken tentang geluh atau pe karikh sekalak tokoh bersejakhah tekhmasuk kontribusi dan kae dampak ne pade sejakhah kite nde,Alas
suakhe khecok eee wayang di ganggu ne ni geluh ku nde panek kukap,Alas
kune cakhe kau menyeleseken bisa dek kapal si ksu ong nagati kae ulah manusia si aku dapet sen pe malet me sen aku tidak,Alas
mungkin lot masalah ne atau pe imbang ne calus,Alas
aku mampelajakh seseatu kakhene de kene tanyak pagi aku nggo khok jawab see,Alas
ni datas gajah jerat dan tahan,Alas
kae kae pelin go pige kata tekhbege lelucuen bagi kiteh,Alas
aku bersyukukh kakhene nggo terlaher ni dunie,Alas
se ku pikekhken sendah kune kase lot sen ku mbue,Alas
pekhadaen ku dak ku umppame Ken Kate kae gat firkh nakhu kite,Alas
untuk sumbekh informasi ni Bagas gelukh kiteh sewakhi wakhi,Alas
sepekhti kae sempukhne ni bagas pandangen mu sendikhi,Alas
tel mantap khalihen bue gat untangpe kene bahan,Alas
" gakhami lah iye, te lot iye, iye nemu menindekh ken ne edi, kate si dukun",Alas
kae kae hal si neku mahanmu senang ni sendah ende khut diye akhi,Alas
"hal si paling ku sukai dakhi pasangen ku salah satu ne sifat ne pekhlakuen ne,sopan santun,taat beragama dan bue lain sebage ne",Alas
aku sukhuh kalak mebahan ni mpus aku jangko 4 wakhi,Alas
"mudah mekhubah sifat,kadang gembikhe kadang gat mudah sesih",Alas
kontribusi kae plin si dapet kamu tawakh ken untuk lingkungen ni sekitakh mu,Alas
NGO khi Bene selukhu harapen ngeluh ku Kao bahan,Alas
"festival mesekat, pelebat, tari ne tangis dilo",Alas
"jektor lebe jume ne, bahan seme ne baru suan page ne, jage perik baru panen",Alas
cakhe Mahan dikhi bahagieee gampang amin cukup laus lajang-lajang mangan-mangan nyanyi-nyanyi karokeen medem istirahat Pokokne mebue kalihen meeee,Alas
ulang mepikir bagass me cinte,Alas
hibukhan thadisional dalam budaya adalah menikmati adat khut budaya,Alas
"pelajakhen paling mengune ni sekolah di pelajakhen agame,kakhene untuk masa depan",Alas
"nagat aku terkenal kakhene kebaiken ku ,kakhene karyaku,kakhene perestasi ku Edi mahn SE nagat ate ku terkenal",Alas
cekhiteken kae si tekhjadi ni bagas wakhi nde,Alas
Kae si kau etoh tentang aplikasi ikata ?,Alas
hal si Nemu bahan menggangu edi me khibut,Alas
inget lah engko umar de ali de enggo kene be kuburen pergi hendaklah inget mude yang sopan nyawe ni badan akan melayang,Alas
sendah kan lot cakhe mudah melalui online atau v aplikasi,Alas
"pesatuen Indonesia, semangat ne khut pejuangen ne",Alas
kae si sedang mengganjal Bagas pikekhen mu,Alas
"de niat tolong Kin maso beakharap iye pe ngedi Ken kite, cukup kite pelin gedi",Alas
persamaan ne bali-bali let mangekhine,Alas
"Tanoh si menjadi dabuh ne Si Layakh ni pengukhusen ni pekhcaye penduduk se ekas desa ende malet dapet geluh nange, te kane pe geluh binatan malot kane pot dohokh te memangan dukut ne",Alas
"bahan khumah, bahan asuransi sedekah jariyah paling penting ne",Alas
kune cakhe Kao membantu Kalak tanpa Mahan iye mekhase pamrih,Alas
hewan kae si Kao mbiakhi dan sebut Ken kene kae gat Kao mbiakh me hewan ne,Alas
"banjekhe, khoh lawe mebelin, tetangge khukhang khamah",Alas
restoran se ku bahan pake konsep tradisional masaken masaken se ndube aku bahan,Alas
aku Olin Rafa Nadal di dek Arya putra Samarinda Indonesia yang memiliki,Alas
cekhiteken tentang bahase dan komunikasi bagas budaye kindin si bage kate ato frasa unik,Alas
"hal si terburuk edilah saat kite buetken sebuakh kesalahan, nggo edi malet digan pe kalak pecaye ke kite",Alas
ali akbar pe menyusun tangan ampun taunku mahkote junjungen bage ken porkis dari guhe batu sengkire perang ma menge tentu,Alas
dengan santai tidukh khut libukhan khut bekhyanyi,Alas
hal hal kae plin si kamu lakuken ketike soh be sekolah atau pe kas mu mebahan,Alas
ketike kite kene tadingken edi khasenen kehlmeneen khalak si kite tadingkan bagas gelukh,Alas
kune care ne kau bahani bahane malet lot bantuen Kalak lain,Alas
ne pekhoses secekhe otomatis pake data data se ngo kite input,Alas
aku suke lagu k-pop khut lagu alas khagene taboh ni geken,Alas
cekhiteken sebuah anekdot atau kejadian lucu si penah terkhjadi ni nggeluh mu?,Alas
daekhah ku nde kin mlet Kade v Hamin v cewek mejile edi hamin,Alas
"pot bantu kite dang susah,salinhg ngajakhi",Alas
kite nemu menjadi bermanfaat me khalak si tekhem,Alas
"cekhite ne me bue,bacakh ,ukokh mecekhok Edi me",Alas
dengan membaca doa bekhusaha yakin khut tekun,Alas
ulang sedang emosi akhus tahan emosi khut sabakh,Alas
sepekhti baju kekhjaen si kembang mejile,Alas
cube sebut ken kae kae plin harapen pe waktu buet medem,Alas
Alamat edi nyate lah pule kemudien hari menuntut bele kakanda terang ken supaye tentu menuntut bele enggo tertentu,Alas
cakhe ku menyelesaikan masalah dengan tentang dan malet khut emosii,Alas
cekhiteken peran pariwisata budaye  bagas melestariken ato mempromosiken  khas ato budaye  daekhah tersebut,Alas
ketike waktu mangan khut sebuah pilihan khut imbang-imbang,Alas
buwet me kalak ni tengah padang sultan bordad bene ni padang ate ku bagas gundah gulane wahe laskar menteri pedane,Alas
begedi me baik ye get nine nolong klk see ramah ye me Kalak ee,Alas
pelebat kakhene pelabat jakhang ngo kalak ukhok jadi ne aku akhus belajakh pelebat,Alas
dengan mbuene sanigen ni mase sendah kakhene teknologi makin canggih,Alas
sitok pe made lot bekasen,Alas
menurut q demokrasi bages Indonesia Edi me sangat bagus karena negara Ende kerina let hukum ne,Alas
kune menukhut mu pendapet awok mu tentang kau,Alas
susah,Alas
 kisah pertame nale nikabarken,Alas
"pemandangen,pengantin si malet jasa foto ne,te sebhuah akhi Kalak si ndk Tate ne aku ato PE dhang bhagas me aktivitas iye,tapi mekesah kukap si bhahanen ne e ku foto Ken gat",Alas
mido bantuan nggakhani bengkel,Alas
cekhiteken bagaimana dampak Petukangan budaya dan globalisasi pada sejakhah pada,Alas
pagi pagi hari ni gak bisa lagi menahan diri lah pagi nuu yang akan kau waktu yang tepat untuk Anda,Alas
"si paling ku biakhi nie bagas hubungen ku putus, atope selisih paham dan tekh jadi jadi dampak yang dak si nie inginken",Alas
Kane kenyakinen Bagas ate akhi khut ni semangati jeme ni sekitakh kite,Alas
sulit iyalah berbicarq dengan orang yang suka marah khut bersabar,Alas
